"Date,""close_price"",""Negara"",""open_price"",""decrease_price"""
2021-10-15,0.30126,Kuwait,0.301,-0.00026
2021-10-18,0.30127,Kuwait,0.301,-0.00027
2021-10-19,0.30129,Kuwait,0.301,-0.00029
2021-10-20,0.30113,Kuwait,0.301,-0.00013
2021-10-21,0.30106,Kuwait,0.301,-0.00006
2021-10-22,0.30092,Kuwait,0.301,0.00008
2021-10-25,0.30097,Kuwait,0.301,0.00003
2021-10-26,0.3011,Kuwait,0.301,-0.0001
2021-10-27,0.30116,Kuwait,0.301,-0.00016
2021-10-28,0.30111,Kuwait,0.301,-0.00011
2021-10-29,0.30105,Kuwait,0.301,-0.00005
2021-11-01,0.30117,Kuwait,0.301,-0.00017
2021-11-02,0.30125,Kuwait,0.301,-0.00025
2021-11-03,0.30124,Kuwait,0.301,-0.00024
2021-11-04,0.30116,Kuwait,0.301,-0.00016
2021-11-05,0.30125,Kuwait,0.301,-0.00025
2021-11-08,0.30147,Kuwait,0.301,-0.00047
2021-11-09,0.30124,Kuwait,0.301,-0.00024
2021-11-10,0.30122,Kuwait,0.301,-0.00022
2021-11-11,0.30127,Kuwait,0.301,-0.00027
2021-11-12,0.30164,Kuwait,0.301,-0.00064
2021-11-15,0.30175,Kuwait,0.301,-0.00075
2021-11-16,0.30162,Kuwait,0.301,-0.00062
2021-11-17,0.30188,Kuwait,0.301,-0.00088
2021-11-18,0.30235,Kuwait,0.301,-0.0013500000000000179
2021-11-19,0.30195,Kuwait,0.301,-0.00095
2021-11-22,0.30209,Kuwait,0.301,-0.0010900000000000354
2021-11-23,0.30204,Kuwait,0.301,-0.0010399999999999854
2021-11-24,0.30212,Kuwait,0.301,-0.0011200000000000099
2021-11-25,0.30244,Kuwait,0.301,-0.0014399999999999968
2021-11-26,0.3023,Kuwait,0.301,-0.0013000000000000234
2021-11-29,0.30216,Kuwait,0.301,-0.0011599999999999944
2021-11-30,0.30222,Kuwait,0.301,-0.0012199999999999989
2021-12-01,0.30185,Kuwait,0.301,-0.00085
2021-12-02,0.3019,Kuwait,0.301,-0.0009
2021-12-03,0.3018,Kuwait,0.301,-0.0008
2021-12-06,0.3022,Kuwait,0.301,-0.0012000000000000344
2021-12-07,0.30225,Kuwait,0.301,-0.0012500000000000289
2021-12-08,0.30232,Kuwait,0.301,-0.0013199999999999878
2021-12-09,0.30237,Kuwait,0.301,-0.0013700000000000379
2021-12-10,0.30232,Kuwait,0.301,-0.0013199999999999878
2021-12-13,0.30242,Kuwait,0.301,-0.0014200000000000323
2021-12-14,0.30247,Kuwait,0.301,-0.0014700000000000268
2021-12-15,0.30235,Kuwait,0.301,-0.0013500000000000179
2021-12-16,0.30287,Kuwait,0.301,-0.0018699999999999828
2021-12-17,0.30273,Kuwait,0.301,-0.0017300000000000093
2021-12-20,0.30255,Kuwait,0.301,-0.0015499999999999958
2021-12-21,0.30257,Kuwait,0.301,-0.0015700000000000158
2021-12-22,0.30237,Kuwait,0.301,-0.0013700000000000379
2021-12-23,0.30265,Kuwait,0.301,-0.0016499999999999848
2021-12-24,0.30212,Kuwait,0.301,-0.0011200000000000099
