"Date","close_price","decrease_price","open_price","Negara"
2021-10-15,1.23746,-0.0001599999999999,1.2373,Kanada
2021-10-18,1.23737,-0.00007,1.2373,Kanada
2021-10-19,1.23722,0.0000800000000001,1.2373,Kanada
2021-10-20,1.2354,0.0019000000000000128,1.2373,Kanada
2021-10-21,1.23244,0.0048600000000000865,1.2373,Kanada
2021-10-22,1.23703,0.00027,1.2373,Kanada
2021-10-25,1.23713,0.00017,1.2373,Kanada
2021-10-26,1.2379,-0.0005999999999999,1.2373,Kanada
2021-10-27,1.23914,-0.0018399999999998418,1.2373,Kanada
2021-10-28,1.23697,0.0003300000000002,1.2373,Kanada
2021-10-29,1.23461,0.002690000000000081,1.2373,Kanada
2021-11-01,1.23829,-0.0009899999999998,1.2373,Kanada
2021-11-02,1.23739,-0.0000899999999999,1.2373,Kanada
2021-11-03,1.2408,-0.0034999999999998366,1.2373,Kanada
2021-11-04,1.23778,-0.00048,1.2373,Kanada
2021-11-05,1.2451,-0.007800000000000029,1.2373,Kanada
2021-11-08,1.24508,-0.007779999999999898,1.2373,Kanada
2021-11-09,1.24422,-0.006920000000000037,1.2373,Kanada
2021-11-10,1.2436,-0.006299999999999972,1.2373,Kanada
2021-11-11,1.24865,-0.011349999999999971,1.2373,Kanada
2021-11-12,1.25885,-0.021549999999999958,1.2373,Kanada
2021-11-15,1.25453,-0.017229999999999857,1.2373,Kanada
2021-11-16,1.2514,-0.014100000000000001,1.2373,Kanada
2021-11-17,1.25657,-0.0192699999999999,1.2373,Kanada
2021-11-18,1.26112,-0.023819999999999952,1.2373,Kanada
2021-11-19,1.26035,-0.023050000000000015,1.2373,Kanada
2021-11-22,1.26535,-0.02804999999999991,1.2373,Kanada
2021-11-23,1.27013,-0.032829999999999915,1.2373,Kanada
2021-11-24,1.26759,-0.030289999999999928,1.2373,Kanada
2021-11-25,1.26617,-0.02886999999999995,1.2373,Kanada
2021-11-26,1.26637,-0.02906999999999993,1.2373,Kanada
2021-11-29,1.27248,-0.03517999999999999,1.2373,Kanada
2021-11-30,1.2738,-0.03649999999999998,1.2373,Kanada
2021-12-01,1.27743,-0.04013,1.2373,Kanada
2021-12-02,1.28109,-0.043789999999999996,1.2373,Kanada
2021-12-03,1.28177,-0.04447000000000001,1.2373,Kanada
2021-12-06,1.2817,-0.044399999999999995,1.2373,Kanada
2021-12-07,1.2762,-0.038899999999999935,1.2373,Kanada
2021-12-08,1.26458,-0.02727999999999997,1.2373,Kanada
2021-12-09,1.26522,-0.027919999999999945,1.2373,Kanada
2021-12-10,1.27084,-0.0335399999999999,1.2373,Kanada
2021-12-13,1.27199,-0.03468999999999989,1.2373,Kanada
2021-12-14,1.28076,-0.04345999999999983,1.2373,Kanada
2021-12-15,1.28671,-0.049409999999999954,1.2373,Kanada
2021-12-16,1.28365,-0.04634999999999989,1.2373,Kanada
2021-12-17,1.27797,-0.040669999999999984,1.2373,Kanada
2021-12-20,1.28985,-0.052549999999999875,1.2373,Kanada
2021-12-21,1.2936,-0.05630000000000002,1.2373,Kanada
2021-12-22,1.2923,-0.05499999999999994,1.2373,Kanada
2021-12-23,1.28512,-0.047819999999999974,1.2373,Kanada
2021-12-24,1.28239,-0.04508999999999985,1.2373,Kanada
2021-12-27,1.2814,-0.04410000000000003,1.2373,Kanada
2021-12-28,1.2787,-0.04139999999999988,1.2373,Kanada
2021-12-29,1.2813,-0.04400000000000004,1.2373,Kanada
2021-12-30,1.27826,-0.040959999999999885,1.2373,Kanada
2021-12-31,1.27444,-0.03713999999999995,1.2373,Kanada
2022-01-03,1.26588,-0.028579999999999828,1.2373,Kanada
2022-01-04,1.27513,-0.03783000000000003,1.2373,Kanada
2022-01-05,1.27044,-0.03313999999999995,1.2373,Kanada
2022-01-06,1.27601,-0.03871000000000002,1.2373,Kanada
2022-01-07,1.27302,-0.035719999999999974,1.2373,Kanada
2022-01-10,1.26469,-0.027390000000000025,1.2373,Kanada
2022-01-11,1.2665,-0.029199999999999893,1.2373,Kanada
2022-01-12,1.25775,-0.020449999999999857,1.2373,Kanada
2022-01-13,1.25016,-0.012859999999999872,1.2373,Kanada
2022-01-14,1.25078,-0.013479999999999936,1.2373,Kanada
2022-01-17,1.25422,-0.016919999999999824,1.2373,Kanada
2022-01-18,1.25157,-0.014270000000000005,1.2373,Kanada
2022-01-19,1.24975,-0.01244999999999985,1.2373,Kanada
2022-01-20,1.25109,-0.013789999999999969,1.2373,Kanada
2022-01-21,1.25003,-0.012729999999999908,1.2373,Kanada
2022-01-24,1.2561,-0.018799999999999928,1.2373,Kanada
2022-01-25,1.26255,-0.025249999999999995,1.2373,Kanada
2022-01-26,1.26159,-0.024289999999999923,1.2373,Kanada
2022-01-27,1.26585,-0.028549999999999853,1.2373,Kanada
2022-01-28,1.27457,-0.037269999999999914,1.2373,Kanada
2022-01-31,1.27591,-0.03861000000000003,1.2373,Kanada
2022-02-01,1.27174,-0.034440000000000026,1.2373,Kanada
2022-02-02,1.26896,-0.03166000000000002,1.2373,Kanada
2022-02-03,1.26864,-0.031339999999999923,1.2373,Kanada
2022-02-04,1.26785,-0.030549999999999855,1.2373,Kanada
2022-02-07,1.27453,-0.037229999999999874,1.2373,Kanada
2022-02-08,1.26656,-0.02925999999999984,1.2373,Kanada
2022-02-09,1.27054,-0.033239999999999936,1.2373,Kanada
2022-02-10,1.26761,-0.030309999999999837,1.2373,Kanada
2022-02-11,1.2732,-0.03590000000000004,1.2373,Kanada
2022-02-14,1.27235,-0.035050000000000026,1.2373,Kanada
2022-02-15,1.27286,-0.035560000000000036,1.2373,Kanada
2022-02-16,1.27237,-0.035069999999999935,1.2373,Kanada
2022-02-17,1.26954,-0.032239999999999824,1.2373,Kanada
2022-02-18,1.27048,-0.03317999999999999,1.2373,Kanada
2022-02-21,1.27566,-0.03835999999999995,1.2373,Kanada
