"Date","close_price","Negara","open_price","decrease_price"
2021-10-15,1.34868,Singapura,1.349,0.0003199999999999
2021-10-18,1.3477,Singapura,1.349,0.0013000000000000789
2021-10-19,1.34896,Singapura,1.349,0.00004
2021-10-20,1.3449,Singapura,1.349,0.0040999999999999925
2021-10-21,1.3427,Singapura,1.349,0.006299999999999972
2021-10-22,1.34681,Singapura,1.349,0.0021899999999999142
2021-10-25,1.34856,Singapura,1.349,0.00044
2021-10-26,1.34715,Singapura,1.349,0.0018499999999999073
2021-10-27,1.3472,Singapura,1.349,0.0018000000000000238
2021-10-28,1.3489,Singapura,1.349,0.0001
2021-10-29,1.34409,Singapura,1.349,0.00490999999999997
2021-11-01,1.34941,Singapura,1.349,-0.00041
2021-11-02,1.34823,Singapura,1.349,0.0007699999999999
2021-11-03,1.34867,Singapura,1.349,0.0003299999999999
2021-11-04,1.3467,Singapura,1.349,0.0022999999999999687
2021-11-05,1.3498,Singapura,1.349,-0.0008000000000001
2021-11-08,1.3498,Singapura,1.349,-0.0008000000000001
2021-11-09,1.3469,Singapura,1.349,0.0020999999999999908
2021-11-10,1.34736,Singapura,1.349,0.0016400000000000858
2021-11-11,1.35254,Singapura,1.349,-0.0035400000000000986
2021-11-12,1.35421,Singapura,1.349,-0.005209999999999937
2021-11-15,1.35202,Singapura,1.349,-0.0030200000000000227
2021-11-16,1.35389,Singapura,1.349,-0.004890000000000061
2021-11-17,1.35639,Singapura,1.349,-0.007390000000000008
2021-11-18,1.35553,Singapura,1.349,-0.006529999999999925
2021-11-19,1.35647,Singapura,1.349,-0.007470000000000088
2021-11-22,1.36219,Singapura,1.349,-0.013190000000000035
2021-11-23,1.3643,Singapura,1.349,-0.015300000000000091
2021-11-24,1.36575,Singapura,1.349,-0.016750000000000043
2021-11-25,1.3679,Singapura,1.349,-0.018899999999999917
2021-11-26,1.36853,Singapura,1.349,-0.019530000000000047
2021-11-29,1.36999,Singapura,1.349,-0.020990000000000064
2021-11-30,1.36836,Singapura,1.349,-0.019360000000000044
2021-12-01,1.36545,Singapura,1.349,-0.016450000000000076
2021-12-02,1.36513,Singapura,1.349,-0.016129999999999978
2021-12-03,1.36927,Singapura,1.349,-0.02027000000000001
2021-12-06,1.37093,Singapura,1.349,-0.021930000000000005
2021-12-07,1.36897,Singapura,1.349,-0.019970000000000043
2021-12-08,1.36511,Singapura,1.349,-0.01611000000000007
2021-12-09,1.36153,Singapura,1.349,-0.01252999999999993
2021-12-10,1.3648,Singapura,1.349,-0.015800000000000036
2021-12-13,1.36405,Singapura,1.349,-0.015050000000000008
2021-12-14,1.36804,Singapura,1.349,-0.019039999999999946
2021-12-15,1.37001,Singapura,1.349,-0.021009999999999973
2021-12-16,1.36578,Singapura,1.349,-0.016780000000000017
2021-12-17,1.36324,Singapura,1.349,-0.01424000000000003
2021-12-20,1.36681,Singapura,1.349,-0.017810000000000104
2021-12-21,1.36714,Singapura,1.349,-0.018140000000000045
2021-12-22,1.36396,Singapura,1.349,-0.014960000000000084
2021-12-23,1.36205,Singapura,1.349,-0.013050000000000006
2021-12-24,1.3583,Singapura,1.349,-0.009300000000000086
2021-12-27,1.35768,Singapura,1.349,-0.008680000000000021
2021-12-28,1.35606,Singapura,1.349,-0.007060000000000066
2021-12-29,1.35407,Singapura,1.349,-0.00507000000000013
2021-12-30,1.3508,Singapura,1.349,-0.0018000000000000238
2021-12-31,1.35191,Singapura,1.349,-0.002909999999999968
2022-01-03,1.3482,Singapura,1.349,0.0007999999999999
2022-01-04,1.35312,Singapura,1.349,-0.0041200000000001236
2022-01-05,1.35571,Singapura,1.349,-0.006709999999999994
2022-01-06,1.35771,Singapura,1.349,-0.008709999999999996
2022-01-07,1.36094,Singapura,1.349,-0.011940000000000062
2022-01-10,1.35625,Singapura,1.349,-0.007249999999999979
2022-01-11,1.35579,Singapura,1.349,-0.006790000000000074
2022-01-12,1.35064,Singapura,1.349,-0.0016400000000000858
