Periode;Nilai
01/03/20;466058.32
01/06/20;392642.65
01/09/20;392576.99
01/12/20;452887.05
01/03/21;486613.87
01/06/21;517641.47
01/09/21;510150.16
01/12/21;586946.17
01/03/22;563853.79
01/06/22;581543.88
